"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv.eps.year[2]",0.155514399863678,0.618580035906412,-1.01676500672182,-0.226330058928247,0.142240639979619,0.517861760651175,1.46106663261194,1.00101700354058,7500
"surv.eps.year[3]",-0.353975768468539,0.750572886666249,-1.94824241804589,-0.789251037716369,-0.32060630736444,0.112613080799697,1.03671408733835,1.00278372144937,1000
"surv.eps.year[4]",0.148362283202892,0.681265778804668,-1.13998682033018,-0.275772935103777,0.135075757782316,0.548976889117029,1.53200539947855,1.00119788013457,5000
"surv.eps.year[5]",-0.0131286416864878,0.963803308313643,-1.97234819008535,-0.54637323876773,-0.0048752279308442,0.535985654830788,1.89832109141953,1.00141132471352,7100
"surv.eps.year[6]",-0.246818160411609,0.700784769053175,-1.69445588420441,-0.648059233285105,-0.224639609362037,0.189927646216283,1.04321440020255,1.00247075714458,1200
"surv.eps.year[7]",-0.233219297235088,0.616896189415739,-1.47060972390616,-0.590924442084156,-0.232999040553061,0.126070288603858,0.988873288720151,1.00184348376527,1900
"surv.eps.year[8]",-1.06980445419415,0.554488514026244,-2.2000781306442,-1.38743249073123,-1.04735131013693,-0.738504474072511,-0.00684767430800553,1.00149687226659,5400
"surv.eps.year[9]",1.17334556599623,0.608802729750287,0.025087520047454,0.803045051181601,1.16061627475098,1.52213148217253,2.41750581459563,1.00166168549314,7500
"surv.eps.year[10]",0.0335118619299846,0.483158530182549,-0.986860362518841,-0.250663950094663,0.0403746241871766,0.328200321850871,0.979233507977516,1.00092699838477,7500
"surv.eps.year[11]",-0.0373211330019972,0.599148953419177,-1.24755367097136,-0.387174490638144,-0.0318989233460602,0.321018267317751,1.16253188031631,1.00083191791963,7500
"surv.eps.year[12]",0.0834623276602748,0.527133886670187,-0.957036320907929,-0.231926680006541,0.0903867105208148,0.3997420612978,1.13482750898324,1.00135217797138,3600
"surv.eps.year[13]",-0.126902711350405,0.786771087946064,-1.7356263197409,-0.575567386315862,-0.107647225487186,0.339416695312704,1.40683921149687,1.00083441068128,7500
"surv.fit",455.684163727274,10.5004952945082,435.657368324357,448.477702565751,455.497441441089,462.696181104213,476.998383698233,1.0010544107233,7500
"surv.fit.new",443.16983893478,23.8802398446572,397.564863248693,426.583409376145,442.792163857114,459.334304110403,490.476431819173,1.00095663911669,7500
"surv.mu",3.34008651755759,0.956000074020128,1.43939288671156,2.7751268001484,3.34044014406022,3.89866409602066,5.30199926315992,1.00080580792356,7500
"surv.sigma.plot",0.197923420087533,0.127250547044208,0.0132181443494356,0.104990628521057,0.181300821796257,0.266535935166704,0.497560871368972,1.00422242976711,3000
"surv.sigma.year",0.888725744750474,0.35267980991026,0.443291048046999,0.651138236214751,0.813660685413394,1.03788556083949,1.78364912771532,1.00150158228651,2800
